"Время, ч","AL, матрица на границе, ат.%","AL, выделение на границе, ат.%","CR, матрица на границе, ат.%","CR, выделение на границе, ат.%","MO, матрица на границе, ат.%","MO, выделение на границе, ат.%","NB, матрица на границе, ат.%","NB, выделение на границе, ат.%","NI, матрица на границе, ат.%","NI, выделение на границе, ат.%","TI, матрица на границе, ат.%","TI, выделение на границе, ат.%"
0.0,1.226475976685097,0.44440161096331654,24.304775313744184,1.786182176970995,2.1102289398759937,0.5449503285495092,0.24785496764506706,16.380081567237013,49.0835923488106,73.37112057872103,0.08304162161152928,5.8382464814237585
2.7805555555555557e-06,1.226475976558352,0.44440161087276736,24.304775314168424,1.7861821769722164,2.110228939905424,0.5449503285055995,0.24785496762893353,16.380081567055576,49.08359234869428,73.37112057877056,0.08304162161379637,5.838246481738498
5.563891666666667e-06,1.226475976600791,0.44440161094007075,24.304775313757304,1.7861821770304862,2.110228939846137,0.5449503285573044,0.2478549676458654,16.380081567232825,49.08359234897854,73.37112057872011,0.08304162160910175,5.83824648138361
8.350011113888889e-06,1.2264759765324504,0.44440161086229235,24.30477531378884,1.7861821769956925,2.1102289398734695,0.5449503285208003,0.2478549676367134,16.38008156706334,49.08359234898228,73.3711205787648,0.08304162161537162,5.838246481702262
1.1138916680558332e-05,1.2264759765975837,0.44440161086771246,24.304775313920498,1.7861821769668704,2.1102289398866674,0.5449503284962915,0.24785496763227452,16.380081566978525,49.08359234894834,73.37112057879767,0.08304162161891332,5.838246481835185
1.3930611152794444e-05,1.2264759764245257,0.44440161086553265,24.3047753136935,1.7861821770582362,2.110228939867819,0.5449503285694598,0.24785496764454132,16.3800815672267,49.083592349041716,73.37112057871113,0.08304162160751577,5.838246481424105
1.672509731950279e-05,1.2264759764474278,0.444401610925735,24.304775313785818,1.7861821770685449,2.1102289398845295,0.5449503286082856,0.2478549676471124,16.38008156742202,49.083592348740524,73.37112057864378,0.08304162159928175,5.838246481119515
1.952237797237785e-05,1.2264759764287525,0.44440161084122437,24.30477531409629,1.7861821770443913,2.1102289399156042,0.5449503285374697,0.247854967635783,16.380081567090286,49.08359234902221,73.37112057877012,0.08304162161038382,5.838246481630914
2.232245590590578e-05,1.2264759766811806,0.44440161099297737,24.30477531375518,1.7861821770230262,2.1102289398535525,0.5449503285720159,0.2478549676481592,16.380081567308178,49.083592348874234,73.37112057869764,0.08304162160703954,5.83824648124823
2.5125333917367238e-05,1.2264759764487088,0.44440161086584384,24.30477531389977,1.786182177025874,2.1102289398968046,0.5449503285541112,0.24785496763766948,16.38008156719905,49.08359234881111,73.37112057871664,0.08304162160796663,5.838246481499396
